N.;Comune;Località;Titolare Concessione;Tipologia concessoria (L.R. 13/2007 e R.R. n. 11/2009);N. Concess. Data rilascio;Denominazione;Superficie scoperta mq.;Opere facile rimozione mq.;Opere difficile rimozione mq.;Pertinenze  mq.;Totale superficie coperta mq.;Fronte mare metri lineari;Specchio acqueo mq.
23;LATINA;VIA LUNGOMARE;COMUNE DI LATINA;ARS;Conc. N. 11/2008;COLONIA LUCENTE;2520;;;;;63;
24;LATINA;VIA LUNGOMARE;VIEMA SRL;SB;Conc. N. 2/2007;LIDO AMARYLLI;2740,54;409,46;;;409,46;60;
25;LATINA;VIA LUNGOMARE;BIANCHI EMANUELE;SB;Conc. N. 8/2007;LIDO ENEA;2819,22;656,78;;;656,78;82;
26;LATINA;VIA LUNGOMARE;COSTRUZIONI NUOVE SOC. COOP. A R.L.;SB;Conc. N. 1/2009;LIDO NAUTILUS;2886,48;240,52;;;240,52;59;
27;LATINA;PIAZZA FOCEVERDE;SPACE TIME SRL;SA;Conc. N. 1/2014;AREA AT3;3743,83;109,17;;;109,17;38;
28;LATINA;VIA VALMONTORIO;ALTAIR SRL;SA;Conc. N. 2/2014;AREA AT5;4080,8;55,2;;;55,2;40;
29;LATINA;VIA LUNGOMARE;RISTORANTE PIZZERIA MARECHIARO SAS;SA;Conc. N. 3/2014;AREA 7 LIDO SATRICUM;2843,82;82,18;;;82,18;77;
30;LATINA;PIAZZA FOCEVERDE;LA MARINA DI LATINA SRL;SA;Conc. N. 4/2014;AREA AT4;3672,66;115,34;;;115,34;38;
31;LATINA;VIA LUNGOMARE;SUB AZZURRO SAS;SA;Conc. N. 5/2014;AREA AT2;939,09;110,91;;;110,91;30;
1;MINTURNO;LUNGOMARE SCAURI;SALTARELLI NICOLA  & C SAS;SB;Conc. N. 54/2005;LIDO FLORIDA;3871,95;;355,5;88,55;444,05;83;
2;MINTURNO;LUNGOMARE;LIDO MEDUSA SAS;SB;Conc. N. 12/2010;LIDO MEDUSA;4345,25;;775,25;179,5;954,75;100;
3;MINTURNO;MONTE D'ORO SCAURI;SASSOLINI SAS;SB;Conc. N. 20/2003;LIDO MARY ROCK;766,21;29,79;;;29,79;93,6;
4;MINTURNO;LUNGOMARE;GIUSEPPE CATANZANO;SB;Conc. N. 17/2010;LIDO DEL PINO;5757,72;101,35;84,6;256,33;442,28;100;
5;MINTURNO;LUNGOMARE MARINA DI MINTURNO;LIDO ROSALBA SNC DI COSSUTO ANNAMARIA E MARIA ROSALIA & C;SB;Conc. N. 24/2003;LIDO ROSALBA;3820;85;305;200;590;98;
6;MINTURNO;LUNGOMARE;ARCOMAR Srl;SB;Conc. N. 30/2010;LIDO DELIZIA;8659,54;;2147,38;293,08;2440,46;200;
7;MINTURNO;LUNGOMARE;GESTAL SRL;SB;Conc. N. 10/2009;LIDO I DELFINI;6283,36;;1632,64;64;1696,64;133;
8;MINTURNO;MONTE D'ORO SCAURI;GITAL SAS;SB;Conc. N. 19/2010;LIDO L'APPRODO;4096,25;410;349,4;184,35;943,75;110;
9;MINTURNO;LUNGOMARE;LIDO AURORA SNC DI RUSSO GABRIELE E LUCA;SB;Conc. N. 20/2010;LIDO AURORA;6383,45;;657,65;587,3;1244,95;146,7;
10;MINTURNO;LUNGOMARE;LIDO SIRENE SAS;SB;Conc. N. 25/2010;LIDO LE SIRENE;4518,2;;928,38;163,42;1091,8;110;
11;MINTURNO;MONTE D'ARGENTO;LUIGI PUZONE;SB;Conc. N. 27/2010;LIDO MEXICO;583,59;;479,1;49,81;528,91;95;
12;MINTURNO;LUNGOMARE;LIDO BIKINI SAS DI ROMANO MARIA & C;SB;Conc. N. 06/2003;LIDO BIKINI;6086;;796;30;826;192;
13;MINTURNO;LUNGOMARE;LIDO VASCELLO SAS;SB;Conc. N. 08/2009;LIDO IL VASCELLO;6627;250;314,45;88,55;653;140;
14;MINTURNO;LUNGOMARE;CARMINE PONTECORVO;SB;Conc. N. 44/2005;LIDO PLINIUS;4014,65;233,45;115;76,9;425,35;80;
15;MINTURNO;LUNGOMARE SCAURI;LIDO DEL SOLE SRL;SB;Conc. N. 10/2003;LIDO DEL SOLE;6384,4;;587,1;158,5;745,6;115;
16;MINTURNO;LUNGOMARE;LIDO LA SIESTA SAS;SB;Conc. N. 09/2009;LIDO LA SIESTA;4606,54;;300,54;92,92;393,46;100;
