N.;Comune;Località;Titolare Concessione;Tipologia concessoria (L.R. 13/2007 e R.R. n. 11/2009);N. Concess. Data rilascio;Denominazione;Superficie scoperta mq.;Opere facile rimozione mq.;Opere difficile rimozione mq.;Pertinenze  mq.;Totale superficie coperta mq.;Fronte mare metri lineari;Specchio acqueo mq.
10;POMEZIA;LUNGOMARE DELLE MEDUSE, 58;FAGIOLINE & CUCCETTINE SRL;SB;Conc. N. 42/2002;CORSETTI;4118,9;216;5054,2;499;5769,2;156;
11;POMEZIA;LUNGOMARE DELLE SIRENE KM. 14;CRAL MOTOVELICO CLUB DELLA VELA;ARS;Conc. N. 9/2009;CRAL MOTOVELICO CLUB DELLA VELA;2217;27;6;;33;90;
12;POMEZIA;VIA LITORANEA KM. 14,500;ASSOCIAZIONE DOPOLAVORO VELICO CAMPOSELVA;ARS;Conc. N. 29/2012;ASSOCIAZIONE DOPOLAVORO VELICO CAMPOSELVA;2806,34;137,8;43,66;;181,46;100;
13;POMEZIA;LUNGOMARE DELLE MEDUSE, 108;OSCAR PERSELLO;SB;Conc. N. 27/2009;FLORIDA;4572;;447;40;487;197;
14;POMEZIA;VIA LITORANEA OSTIA-ANZIO KM. 11;MARIA GRAZIA GIAMPA';ER;Conc. N. 16/2009;;25,07;24,93;;;24,93;10;
15;POMEZIA;LUNGOMARE DELLE SIRENE SS. 601;GIGI SRL;ER;Conc. N. 13/2009;GIGI;;;;271,75;271,75;27;
16;POMEZIA;VIA PECHINO, 156;LA BARRACA SNC;ER;Conc. N. 23/2009;LA BARRACA;8,84;;;83,36;83,36;11,2;
17;POMEZIA;VIA FRANCOFORTE, 1;ROSA FORMISANO;SB;Conc. N. 35/2002;LA PERLA NERA;1905,23;109;348;330,77;787,77;55,2;
18;POMEZIA;LUNGOMARE DELLE MEDUSE, 110;LE SFERE D'ORO SRL;ER;Conc. N. 51/2002;LA BUSSOLA;312;298,2;106,78;411,13;816,11;;
19;POMEZIA;LUNGOMARE DELLE MEDUSE, 114;LIDO DUE SRL;SB;Conc. N. 17/2002;LIDO;1919,46;403,3;578;142,24;1123,54;128;
20;POMEZIA;VIA MISURINA, 28;ASSOCIAZIONE GINNICO SPORTIVA MARE E PINETA;ARS;Conc. N. 6/2009;ASSOCIAZIONE GINNICO SPORTIVA MARE E PINETA;3555;45;;;45;80;
21;POMEZIA;LUNGOMARE DELLE MEDUSE, 44;SIMONA DEL FIUME;SB;Conc. N. 28/2002;MARE CHIARO;1215;254,8;1541,28;288,72;2084,8;79;
22;POMEZIA;VIA FRANCOFORTE, 50;UMBERTO COSTANTINI E VITTORIA COLAROSSI;SB;Conc. N. 38/2002;MIAMI;4562,5;413,64;178,84;845,02;1437,5;61;
23;POMEZIA;LUNGOMARE DELLE SIRENE, 24;LA MICHELANGELO SRL;SB;Conc. N. 09/BIS/2003;SCHIANO;5171;;1098;565;1663;100;
24;POMEZIA;VIA TOKIO, 101;MAJOR BEACH SRL;SB;Conc. N. 03/2005;COCO VILLAGE;1411,8;36,8;;578,1;614,9;31,5;
25;POMEZIA;LUNGOMARE DELLE MEDUSE, 156;MILLENIUM SRL;SB;Conc. N. 06/2005;PORT ROYAL;1778;529;1060,5;387;1976,5;80;
26;POMEZIA;VIA LITORANEA  KM. 15,000;VINCENZO TARANTINI;SB;Conc. N. 18/2002;PICCOLO PORTO;1581,4;;470,6;342;812,6;70;
27;POMEZIA;VIA MEDITERRANEO SNC;ASSOCIAZIONE GINNICO SPORTIVA PIGNETO A MARE;ARS;Conc. N. 10/2009;ASSOCIAZIONE GINNICO SPORTIVA PIGNETO A MARE;3395,49;11,43;;;11,43;99,6;
28;POMEZIA;VIA LITORANEA  OSTIA-ANZIO KM. 16,500;MICHELE TAMMONE;SB;Conc. N. 10/2001 + LIC.SUPPL. 40/2006;AL RAGNO D'ORO;4259,8;;727,53;399,4;1126,93;71;
29;POMEZIA;VIALE FRANCIA, 46/54;STEFANO PARISI;ER;Conc. N. 15/2009;;85,48;14,52;;;14,52;10;
30;POMEZIA;VIA LITORANEA KM. 10,720 - 10,730;ARI.VA.DO SRL;NIAB;Conc. N. 3/2009;ZION;100;;;;;10;
31;POMEZIA;VIA LITORANEA KM. 10,625 - 10,700;COMUNE DI POMEZIA;SA;Conc. N. 18/2009;;2950;50;;;50;75;
32;POMEZIA;VIA LITORANEA KM. 13,700;LE AMACHE SRL;ER;Conc. N. 12/2009;LE AMACHE;;25;;;25;5;
33;POMEZIA;LUNGOMARE DELLE SIRENE /VIATOLEDO;FRANCA MACCAGNANI;SR;Conc. N. 8/2009;FONDAZIONE FUTURO;699,4;;55,6;;55,6;37,75;
34;POMEZIA;VIA LITORANEA KM. 13,680;BELFAST SC a RL;NIAB;Conc. N. 4/2009;ZURLO;75;;;;;7,5;
35;POMEZIA;VIA LITORANEA KM. 10,895 - 11,030;SANDRA FOFFI;NIAB;Conc. N. 19/2009;PALOMA;100;;;;;10;
36;POMEZIA;VIALE SPAGNA, 75/91;ROBERTO VIVARELLI;NIAB;Conc. N. 11/2009;VIVARELLI;75;;;;;7,5;
37;POMEZIA;VIA LITORANEA OSTIA ANZIO KM. 13,500;ZI CHECCO SNC;SB;Conc. N. 12/2002;ZI CHECCO;1558,62;59,5;169,78;583,1;812,38;53,2;
38;POMEZIA;PIAZZA UNGHERIA, 14;BAGNI BELVEDERE SRL;SB;Conc. N. 24/2009;BAGNI BELVEDERE;4690,83;37,5;636,17;165,5;839,17;134;
39;POMEZIA;VIA LITORANEA KM. 12,200;CASALDI SRL;ER;Conc. N. 2/2009;CASALDI;;12;;;12;2,5;
40;POMEZIA;VIA NIZZA;NASSO GIANLUCA;ER;Conc. N. 17/2009;TINGA;120;;;115;115;15;
41;POMEZIA;LUNGOMARE DELLE SIRENE, 113;NEW EDUCATION SRL;SR;Conc. N. 22/2009;NEW EDUCATION;1182;48;;;48;43,6;
42;POMEZIA;LUNGOMARE DELLE MEDUSE, 36/A;UNIVELICA SRL;PO;Conc. N. 26/2009;UNIVELICA SRL;3508,3;;450,62;77;527,62;54,5;
43;POMEZIA;LUNGOMARE DELLE MEDUSE, 14;MAJOR BEACH SRL;SA;Conc. N. 28/2010;MAYOR BEACH;710;100;;;100;30;
44;POMEZIA;LOCALITA' RIO TORTO;CONGR. FIGLIE POVERE S. GIUSEPPE CALASANZIO;SA;Conc. N. 5/2009;CONGR.FIGLIE POVERE S.GIUSEPPE CALASANZIO;911,16;88,84;;;88,84;45;
1;PONZA;LOC.TA' BANCHINA NUOVA;SETTIMIO CIPOLLONI;PO;Conc. N. pz/001 Rep.668/2010;;;;;;;;119
2;PONZA;LOC.TA' BANCHINA NUOVA;SETTIMIO CIPOLLONI BIS;ER;Conc. N. pz/001 bis Rep.681/2010;"RISTORANTE ""LA KAMBUSA""";70;220;;;220;;
3;PONZA;LOC.TA' PUNTA BIANCA;FUCA' ADA;ER;Conc. N. pz/009 Rep.602/2010;"BAR ""CHALET""";;;23,29;;23,29;;
4;PONZA;LOC.TA' BANCHINA NUOVA;CANTONE ROSA;ER;Conc. N. pz/011 Rep.226/2003;"RISTORANTE ""LA PERGOLA""";78,5;;;;;;
5;PONZA;LOC.TA' S. MARIA;MAZZELLA M. ANTONIETTA;ER;Conc. N. pz/012 Rep.134/2003;"PENSIONE ""SILVIA""";;;60;;60;;
6;PONZA;VIA S. MARIA;PONTINIA SNC DI MEGLIO GIUSEPPE & C;ER;Conc. N. pz/015 Rep.58/2003;"RISTORANTE ""LA SCOGLIERA""";;;114;;114;;
7;PONZA;LOC.TA' S. ANTONIO;SILVESTRI MARCELLA;PO;Conc. N. pz/016 Rep.643/2009;;;;;;;;400
8;PONZA;VIA DANTE ALIGHIERI, 64;GENNARINO A MARE SNC;ER;Conc. N. pz/024 Rep.671/2010;"RISTORANTE ""GENNARINO A MARE""";;;114;;114;;
9;PONZA;VIA CONTI;D'ARCO MAURO;ER;Conc. N. pz/025 Rep.70/2003;"BAR ""GELATOMANIA""";64;;;;;;
10;PONZA;VIA S. MARIA;GENOVESE MARIA;ER;Conc. N. pz/028 Rep.161/2003;"BAR ""ZANZIBAR""";;;54;;54;;
11;PONZA;LOC.TA' GIANCOS;GENNARINO A MARE SNC;PO;Conc. N. pz/035 Rep.57/2005;;;;;;;;1023,5
12;PONZA;LOC.TA' S. MARIA;PARISI SILVERIO;PO;Conc. N. pz/036 Rep.172/2003;;;;;;;;656
13;PONZA;LOC.TA' S. MARIA;SANTA MARIA S.R.L.;PO;Conc. N. pz/037 Rep.1613/2008;;;;;;;;3034
14;PONZA;LOC.TA' BANCHINA NUOVA;COOP. PONZA MARE A.R.L.;PO;Conc. N. pz/038 Rep.607/2008;;;;;;;;1674
15;PONZA;LOC.TA' GIANCOS;NAUTICA ENROS S.R.L.;PO;Conc. N. pz/039 Rep.608/2008;AVVIO PROCEDIMENTO DECADENZA;;;;;;;3662
16;PONZA;LOC.TA' BANCHINA NUOVA;TRE STELLE S.R.L.;PO;Conc. N. pz/040 Rep.604/2008;;;;;;;;1959
17;PONZA;CORSO UMBERTO I;DE LUCA MARIANO;ER;Conc. N. pz/041 Rep.86/2004;"BAR ""WINSPEARE CLUB""";128;;;;;;
18;PONZA;VIA S. MARIA;MAZZELLA LUCIANO;ER;Conc. N. pz/043 Rep.202/2005;"PIZZERIA ""DA LUCIANO""";;;60;;60;;
19;PONZA;LOC.TA' GIANCOS;SOC. B. NAUTICA LA FENICIA;PO;Conc. N. pz/044 Rep.620/2008;;;;;;;;1350
20;PONZA;LOC.TA' MOLO MUSCO;ROMANO VITTORIO;ER;Conc. N. pz/044 bis Rep.646/2009;"BAR ""AU BORD L'EAU""";108;;;;;;
21;PONZA;LOC.TA' GIANCOS;COOP. ECOMARE;PO;Conc. N. pz/045 Rep.145/2003;DECADUTO;;;;;;;1325
22;PONZA;LOC.TA' S. ANTONIO;SICILIANI EMANUELA;PO;Conc. N. pz/046 Rep.636/2009;;;;;;;;400
23;PONZA;LOC.TA' S. MARIA;MAZZELLA SILVERIO;PO;Conc. N. pz/047 Rep.660/2010;;;;;;;;325
24;PONZA;LOC.TA' S. ANTONIO;VALERI GIANCARLO;PO;Conc. N. pz/048 Rep.677/2010;;;;;;;;525
25;PONZA;LOC.TA' PUNTA BIANCA;GIOVANNI DIES;PO;Conc. N. pz/049 Rep.606/2008;;;;;;;;200
26;PONZA;LOC.TA' PUNTA BIANCA;GIOVANNI DIES;PO;Conc. N. pz/049 bis Rep.675/2010;;;;;;;;113
27;PONZA;LOC.TA' S. MARIA;ALBATROS S.N.C.;PO;Conc. N. pz/050 Rep.605/2008;;;;;;;;303
28;PONZA;VIA SOTTOCAMPO INGLESE;ERRANTE STEFANIA;PO;Conc. N. pz/052 Rep.676/2010;;;;;;;;375
29;PONZA;LOC.TA' SCALO MAMOZIO;ASS. PESCA MARE SPORT;PO;Conc. N. pz/054 Rep.647/2009;;;;;;;;618
30;PONZA;LOC.TA' S. ANTONIO;CLUB DIPORTO S. ANTONIO;PO;Conc. N. pz/056 Rep.638/2009;;;;;;;;800
31;PONZA;LOC.TA' PUNTA BIANCA;SOC. SETTEMARI S.R.L.;PO;Conc. N. pz/059 Rep.611/2008;;;;;;;;680
32;PONZA;LOC.TA' MOLO MUSCO;NITRIDE CONCETTA;ER;Conc. N. pz/060 bis Rep.682/2010;"PIZZERIA ""IL FARO CAFFE""";20,7;;;;;;
33;PONZA;VIA DRAGONARA;PESCE MARIO;PO;Conc. N. pz/080 Rep.591/2007;;;;;;;;150
34;PONZA;LOC.TA' CALA FEOLA;ASS. SPORTIVA LE FORNA MARE;PO;Conc. N. pz/084 Rep.593/2007;;;;;;;;3000
35;PONZA;LA CALETTA;NITRIDE CONCETTA;ER;Conc. N. pz/085 Rep.683/2010;"PIZZERIA ""IL FARO CAFFE""";40;;;;;;
36;PONZA;LOC.TA' S. MARIA;SERTO NUNZIO;PO;Conc. N. pz/086 Rep.600/2007;;;;;;;;1440
37;PONZA;LOC.TA' S. MARIA;S. MARIA  S.R.L.;PO;Conc. N. pz/087 Rep.602/2008;;;;;;;;2500
38;PONZA;LOC.TA' MAMOZIO;MAZZELLA GAETANO;PO;Conc. N. pz/088 Rep.657/2010;IL TRITONE;;;;;;;169
39;PONZA;LOC.TA' S. ANTONIO;SERTO LUCIO;PO;Conc. N. pz/089 Rep.663/2010;;;;;;;;200
40;PONZA;VIA SALITA CROCE;MARIO PESCE;NIAB;Conc. N. pz/090 Rep.610/2009;GAZEBO;;4;;;4;;
41;PONZA;LOC.TA' PORTO;SCOTTI SILVERIO;PO;Conc. N. pz/091 Rep.665/2010;;;;;;;;600
42;PONZA;LOC.TA' PORTO;DIES LUIGI;PO;Conc. N. pz/092 Rep.667/2010;;;;;;;;85,5
43;PONZA;LOC.TA' PORTO;TRE STELLE S.R.L.;PO;Conc. N. pz/093 Rep.666/2010;;;;;;;;600
44;PONZA;LOC.TA' PORTO;DE MAIO ROBERTA;PO;Conc. N. pz/094 Rep.664/2010;;;;;;;;450
45;PONZA;LOC.TA' LA CALETTA;DE LUCA MARTA;PO;Conc. N. pz/095 Rep.674/2010;;;;;;;;200
46;PONZA;LOC.TA' BANCHINA NUOVA;COOP. PONZA MARE A.R.L.;PO;Conc. N. pz/097 Rep.672/2010;;;;;;;;225
47;PONZA;LOC.TA' S. ANTONIO;SOC. PARADISE SRL;PO;Conc. N. pz/098 Rep.679/2010;;;;;;;;300
48;PONZA;LOC.TA' S. ANTONIO;FEOLA GIOVANNI;PO;Conc. N. pz/99 Rep.678/2010;;;;;;;;250
1;ROMA - X MUNICIPIO;L.MARE A. VESPUCCI, 6;SPORTING BEACH SRL;SB;Conc. N. A.F. 15/2006;STAB. BAL. SPORTING BEACH;10441;788;4371;;5159;155;
2;ROMA - X MUNICIPIO;L.MARE A. VESPUCCI;CLEMENS MAR SRL;SB;Conc. N. A.F. 17/2008;STAB. BAL. VENEZIA;12695;1110;1195;;2305;157,55;
3;ROMA - X MUNICIPIO;L.MARE A. VESPUCCI, 10;COOP. ROMA SOLIDARIETA' C.R.S.;SB;Conc. N. 23/2009;STAB. BAL. L'ARCA;9689;1286;;925;2211;65,45;
4;ROMA - X MUNICIPIO;L.MARE A. VESPUCCI, 12;GAMBRINUS SRL;SB;Conc. N. A.F. 8/2004;STAB. BAL. GAMBRINUS;12030;1042;1818;;2860;117,2;
5;ROMA - X MUNICIPIO;L.MARE A. VESPUCCI, 32;CRAL POSTE ITALIANE ROMA;SB;Conc. N. 06/2010;STAB. BAL. ORSA MAGGIORE;9728,37;;;1007,63;1007,63;73;
6;ROMA - X MUNICIPIO;L.MARE A. VESPUCCI, 34;DOPOLAVORO ATAC;SB;Conc. N. 22/2009;STAB. BAL. Dopolavoro ATAC;7754,8;1905,32;1062;894,79;3862,11;71,57;
7;ROMA - X MUNICIPIO;L.MARE A. VESPUCCI, 44;LA MARIPOSA SRL;SB;Conc. N. 02/2010;STAB. BAL. LA MARIPOSA;4987,93;1145,43;;752,64;1898,07;47,89;
8;ROMA - X MUNICIPIO;L.MARE A. VESPUCCI, 40;CRAL ENI ROMA;SB;Conc. N. 26/2009;STAB. BAL. ZENITH;5959;398;;1252;1650;53,82;
9;ROMA - X MUNICIPIO;L.MARE A. VESPUCCI, 50;ASS. SPORT. DILETT. NAUTICLUB CASTELFUSANO;ARS;Conc. N. 21/2009;CIRCOLO  NAUTICLUB CASTELFUSANO;5885,9;102,1;1512;;1614,1;49,35;
10;ROMA - X MUNICIPIO;L.MARE A. VESPUCCI, 168/170;C.A.N.A.P.;SB;Conc. N. 37/2009;STAB. BAL. LE PALME;12210;67;;2218;2285;88,42;
11;ROMA - X MUNICIPIO;L.MARE A. VESPUCCI, 62;STABILIMENTO PICENUM SRL;SB;Conc. N. 11/2009;STAB. BAL. V-LOUNGE;11369,9;2107,1;;526;2633,1;83,72;
12;ROMA - X MUNICIPIO;L.MARE A. VESPUCCI, 64;LA CALETTA SRL;SB;Conc. N. 05/2011;STAB. BAL. LA CALETTA;3595,18;;255,82;;255,82;31,52;
13;ROMA - X MUNICIPIO;VIA LITORANEA, 68;LA CASETTA SRL;SB;Conc. N. A.F. 122/1992;STAB. BAL. LA CASETTA;11751;;2818,2;;2818,2;99,15;
14;ROMA - X MUNICIPIO;L.MARE A. VESPUCCI, 72;CRAL MIN. GRAZIA E GIUSTIZIA e SALVATORE MIGLIORE E FIGLI SAS;SB;Conc. N. 13/2009;STAB. BAL. LA BUSSOLA;6912,91;409,95;651,27;238,39;1299,61;48,46;
15;ROMA - X MUNICIPIO;L.MARE A. VESPUCCI, 80;LA BICOCCA SRL;SB;Conc. N. 30/2009;STAB. BAL. LA BICOCCA;7228,72;1445,03;822,01;;2267,04;67,36;
16;ROMA - X MUNICIPIO;L.MARE A. VESPUCCI, 90;ASSOCIAZIONE MARESOLE;SB;Conc. N. 7/2012;STAB. BAL. CIRCOLO VELICO AZZURRA (ASSOCIAZIONE MARESOLE);1238,62;;110,63;;110,63;103;
17;ROMA - X MUNICIPIO;L.MARE A. VESPUCCI, 102;PEPPINO A MARE RMF SRL;ER;Conc. N. 35/2009;RISTORANTE BAR PEPPINO A MARE;359,97;;;754,38;754,38;;
18;ROMA - X MUNICIPIO;L.MARE A. VESPUCCI, 102;PEPPINO A MARE BEACH SRL;SB;Conc. N. 17/2009;STAB. BA. PEPPINO A MARE;8371;938;;956;1894;58;
19;ROMA - X MUNICIPIO;L.MARE A. VESPUCCI, 112;CORALLO BEACH SRL;SB;Conc. N. 8/2010;STAB. BAL. LA SPIAGGIA DI BETTINA;14278,32;2074,68;;238;2312,68;90;
20;ROMA - X MUNICIPIO;L.MARE A. VESPUCCI, 119;FAFFI SAS;SB;Conc. N. 27/2009;STAB. BAL. LA SPIAGGIA;6453;506,15;;420,85;927;46,47;
21;ROMA - X MUNICIPIO;L.MARE A. VESPUCCI, 120;LA VELA SRL;SB;Conc. N. 10/2008;STAB. BAL. LA VELA;7512,2;537;550,8;;1087,8;52;
22;ROMA - X MUNICIPIO;L.MARE A. VESPUCCI, 124;I.S.T.A.T. e STAB. BALNEARI DI ROMA SRL;SB;Conc. N. 33/2002;STAB. BAL. MIAMI;8212;;;1001;1001;56,88;
23;ROMA - X MUNICIPIO;L.MARE A. VESPUCCI, 140;IL BUNGALOW SRL;SB;Conc. N. 14/2009;STAB. BAL. IL BUNGALOW;9515;938;;547;1485;72;
24;ROMA - X MUNICIPIO;L.MARE A. VESPUCCI, 146;LA BONACCIA SRL;SB;Conc. N. 7/2009;STAB. BAL. LA BONACCIA;7196;906;;468;1374;54,26;
25;ROMA - X MUNICIPIO;L.MARE A. VESPUCCI, 156;LA CAPANNINA A MARE SRL;SB;Conc. N. A.F. 5/2003;STAB. BAL. LA CAPANNINA A MARE;10080;1180,81;1361,58;;2542,39;57,75;
26;ROMA - X MUNICIPIO;L.MARE A. VESPUCCI, 160;GUERRINO BEACH SRL;SB;Conc. N. 4/2010;STAB. BAL. GUERRINO ER MARINARO;7542,7;493,42;;763,88;1257,3;57,45;
27;ROMA - X MUNICIPIO;L.MARE A. VESPUCCI, 164;IL CORSARO SRL;SB;Conc. N. 24/2009;STAB. BAL. IL CORSARO;7413;519;;568;1087;52;
28;ROMA - X MUNICIPIO;L.MARE A. VESPUCCI, 168/170;CASSA MUTUA ASS. PREV. PERSONALE MIN. INTERNO;SB;Conc. N. 20/2009;STAB. BAL. ISOLA FIORITA CRAL MIN. INT.;7914;324,45;;1071;1395,45;46,37;
29;ROMA - X MUNICIPIO;L.MARE A. VESPUCCI, 172;LIDO AL.MA. SRL.;SB;Conc. N. 31/2009;STAB. BAL. IL GABBIANO;6949;724;;727;1451;54;
30;ROMA - X MUNICIPIO;L.MARE A. VESPUCCI, 176;CE.DA. LIDO SRL;SB;Conc. N. 4/2009;STAB. BAL. L'ANCORA;7615;725;;660;1385;57,85;
31;ROMA - X MUNICIPIO;L.MARE A. VESPUCCI, 180;I.A.L. SRL;SB;Conc. N. 1/2010;STAB. BAL. L?OASI;11429,6;1182,4;798,94;;1981,34;77;
32;ROMA - X MUNICIPIO;L.MARE A. VESPUCCI, 184;LA PLAYA SRL;SB;Conc. N. A.F. 14/2006;STAB. BAL. LA PLAYA;7519;1526;2291,8;;3817,8;60,85;
33;ROMA - X MUNICIPIO;VIA LITORANEA, 200;LA MARINELLA SRL;SB;Conc. N. 33/2009;STAB. BAL. LA MARINELLA;10282,06;1937,04;;1244,83;3181,87;91;
34;ROMA - X MUNICIPIO;L.MARE TOSCANELLI, 63;SOC. BATTISTINI SRL;SB;Conc. N. 10/2009;STAB. BAL. BATTISTINI;2977;574;;749;1323;130,689;
35;ROMA - X MUNICIPIO;VIA LITORANEA Km10.100;MARINE VILLAGE SRL;SA;Conc. N. 3/2013;SPIAGGIA ATTREZZATA MARINE VILLAGE;1982;;;;;131;
36;ROMA - X MUNICIPIO;L.MARE P. TOSCANELLI, 211;REPUBBLICHE MARINARE SRL;SB;Conc. N. 38/2009;STAB. BAL.ANEME E CORE;2188,95;673,38;;117,67;791,05;44,57;
37;ROMA - X MUNICIPIO;L.MARE P. TOSCANELLI, 199;SILVIO'S SRL;ER;Conc. N. 4/2012;CHIOSCO BAR. FABER BEACH;;37,65;;;37,65;128;
38;ROMA - X MUNICIPIO;L.MARE P. TOSCANELLI, 197;MALIBU' BEACH SRL;SB;Conc. N. A.F. 13/2006;STAB. BAL. VILLAGE;4502,78;1394,5;;300;1694,5;;
39;ROMA - X MUNICIPIO;L.MARE P. TOSCANELLI, 195;BAGNI VITTORIA SRL;SB;Conc. N. A.F. 11/2006;STAB. BAL. BAGNI VITTORIA;7002,6;824;977;;1801;114;
40;ROMA - X MUNICIPIO;L.MARE P. TOSCANELLI, 181/187;ARCOBALENO BEACH SRL;SB;Conc. N. 34/2009;STAB.BAL. ARCOBALENO BEACH;2161,43;190;;913;1103;76;
41;ROMA - X MUNICIPIO;L.MARE P. TOSCANELLI, SNC;SOC. TO BE SHIP S.R.L.;SA;Conc. N. 8/2014;CHIIOSCO  THE ONE;;128,52;100;;228,52;97;
42;ROMA - X MUNICIPIO;L.MARE P. TOSCANELLI, SNC;ISTITUTO FIGLIE DI MARIA IMMACOLATA;SR;Conc. N. 1/2009;STAB. BAL. ISTITUTO FIGLIE MARIA IMMACOLATA;2301,5;;;16,5;16,5;41;
43;ROMA - X MUNICIPIO;L.MARE P. TOSCANELLI, 123/125;D.S. BEACH SRL;SB;Conc. N. 28/2009;STAB. BAL. LA CONCHIGLIA;3307;407;;486;893;59;
44;ROMA - X MUNICIPIO;L.MARE P. TOSCANELLI, 119/121;STABILIMENTO BALNEARE MODERNO SRL;SB;Conc. N. 5/2010;STAB. BAL. URBINATI;1847;98;;1613;1711;65,5;
45;ROMA - X MUNICIPIO;L.MARE P. TOSCANELLI, 117;A.B.C. BEACH SRL;SB;Conc. N. A.F 4/2003;STAB. BAL. SALUS;4884;861;713;;1574;98,7;
46;ROMA - X MUNICIPIO;L.MARE P. TOSCANELLI, 107;STABILIMENTO ELMI SRL;SB;Conc. N. 16/2009;STAB. BAL. ELMI;2850;1019,2;;1131,55;2150,75;130;
47;ROMA - X MUNICIPIO;L.MARE P. TOSCANELLI, 103;EDONE' SRL;ER;Conc. N. 3/2009;RISTORANTE EDONE';58,14;85;;420;505;;
48;ROMA - X MUNICIPIO;L.MARE P. TOSCANELLI, 63;SOCIETA' KELLY'S SRL;SB;Conc. N. 4/2013;STAB. BAL.  MARECHIARO;20002;925;876;;1801;268;
49;ROMA - X MUNICIPIO;L.MARE P. TOSCANELLI, 63;APREDA SRL;ER;Conc. N. 2/2013;RISTORANTE LIDO;834,01;;;586,35;586,35;;
50;ROMA - X MUNICIPIO;L.MARE P. TOSCANELLI, 63;LIDO BEACH SNC;SB;Conc. N. A.F. 10/2005;STAB. BAL. LIDO BEACH;23486,24;1004,16;2890,2;;3894,36;287,4;
51;ROMA - X MUNICIPIO;L.MARE P. TOSCANELLI, 31;SOC. MAESTRALE 31 SRL;ER;Conc. N. 10/2010;RISTORANTE KELLY'S;24,5;530;129;;659;;
52;ROMA - X MUNICIPIO;L.MARE P. TOSCANELLI, 211;DI.MA.RA.RO. SRL;ER;Conc. N. 9/2008;BAR RISTORANTE EL MIRAMAR;253;;192;;192;105,5;
53;ROMA - X MUNICIPIO;PIAZZALE MAGELLANO, SNC;CASAGNI RITA SRL;ER;Conc. N. 6/2009;CHIOSCO CASAGNI RITA;;88,48;;;88,48;158,8;
54;ROMA - X MUNICIPIO;PIAZZALE MAGELLANO, 41;DUILIO SRL;SB;Conc. N. A.F. 9/2004;STAB. BAL. IL CAPANNO;12754;899;547;;1446;217,88;
55;ROMA - X MUNICIPIO;PIAZZALE MAGELLANO, 33;IL DELFINO SNC;SB;Conc. N. 19/2009;STAB. BAL. DELFINO;3107;141,42;;352,29;493,71;43,25;
56;ROMA - X MUNICIPIO;ViIA LITORANEA Km 7,45;JUMBO VILLAGE SRL;SA;Conc. N. 5/2009;SPIAGGIA  ATTREZZATA JUMBO VILLAGE;7002,84;298,26;125;;423,26;;
57;ROMA - X MUNICIPIO;VIA ARMANDO ARMUZZI, 6;NUOVA BELSITO SRL;SB;Conc. N. 8/2009;STAB. BAL. BELSITO;9882;1240;511;67;1818;168,33;
58;ROMA - X MUNICIPIO;L. MARE CAIO DUILIO, 4;S.A.C.I.M. SRL;SB;Conc. N. 12/2009;STAB. BAL. PLINIUS;14569;2074;;3505;5579;330,35;
59;ROMA - X MUNICIPIO;PIAZZALE DEI CANOTTI SNC;AKUNA SRL;ER;Conc. N. 15/2009;CHIOSCO AKUNA MATATA;;168;;;168;95,15;
60;ROMA - X MUNICIPIO;L MARE CAIO DUILIO, 22;SOC. TIBIDABO BEACH S.R.L.;SB;Conc. N. 6/2014;STAB. BAL. TIBIDABO;7786;3098;939;51;4088;243;
61;ROMA - X MUNICIPIO;L MARE CAIO DUILIO, 32;CRAL COMUNE DI ROMA;SB;Conc. N. 3/2010;STAB. BAL. MAMI;6790,26;;;1029,74;1029,74;96,32;
62;ROMA - X MUNICIPIO;L MARE CAIO DUILIO, 36;LEGA NAVALE ITALIANA SEZ. OSTIA LIDO;ARS;Conc. N. A.F. 16/2007;STAB. BAL. LEGA NAVALE ITALIANA;11205,66;;3120,14;;3120,14;96,95;
63;ROMA - X MUNICIPIO;VIA DEGLI AUTOSCAFI, 9;IL PORTICCIOLO DI OSTIA SRL;NIAB;Conc. N. 1/2013;DARSENA IL PORTICCIOLO DI OSTIA (darsena pescatori);;;;;;;3000
64;ROMA - X MUNICIPIO;L. MARE CAIO DUILIO, 40;MEDNET SRL;SB;Conc. N. 4/2011;STAB. BAL. MEDNET;;125;;;125;89;
65;ROMA - X MUNICIPIO;PIAZZALE DELL'AQUILONE, 4;STABILIMENTI BALNEARI LIDO DI ROMA SRL;SB;Conc. N. 2/2011;STAB. BAL. LA VECCHIA PINETA;3414;550;1036;;1586;342,67;
66;ROMA - X MUNICIPIO;L.MARE LUTAZIO CATULO, 6;NUOVA PINETA SRL;SB;Conc. N. A.F. 1/2002;STAB. BAL. NUOVA PINETA-PINETINA;11205,66;;3120,14;;3120,14;475;
67;ROMA - X MUNICIPIO;L.MARE LUTAZIO CATULO, 14;DOPOLAVORO CO.TRA.L.MET.RO;SB;Conc. N. A.F. 3/2003;STAB. BAL. CO.TRA.L.;8785,07;1066;928.93;;1066;82,57;
68;ROMA - X MUNICIPIO;L.MARE LUTAZIO CATULO, 36/40;KURSAAL DEL LIDO DI CASTELFUSANO SRL;SB;Conc. N. 9/2009;STAB. BAL. KURSAAL;22906,9;1483,8;4345,92;759,38;6589,1;133,03;
